    66    0.17871E+04    0.44843E+00   -0.76804E+01    0.93649E+07    0.20745E+04
    67    0.18109E+04    0.46670E+00   -0.82714E+01    0.93140E+07    0.20066E+04
    68    0.18352E+04    0.48521E+00   -0.88721E+01    0.92624E+07    0.19421E+04
    69    0.18599E+04    0.50389E+00   -0.94801E+01    0.92103E+07    0.18813E+04
    70    0.18850E+04    0.52271E+00   -0.10097E+02    0.91576E+07    0.18242E+04
    71    0.19105E+04    0.54164E+00   -0.10724E+02    0.91044E+07    0.17711E+04
    72    0.19364E+04    0.56063E+00   -0.11363E+02    0.90508E+07    0.17221E+04
    73    0.19625E+04    0.57963E+00   -0.12017E+02    0.89968E+07    0.16774E+04
    74    0.19889E+04    0.59864E+00   -0.12684E+02    0.89425E+07    0.16371E+04
    75    0.20157E+04    0.61767E+00   -0.13364E+02    0.88878E+07    0.16008E+04
    76    0.20427E+04    0.63673E+00   -0.14057E+02    0.88329E+07    0.15680E+04
    77    0.20700E+04    0.65579E+00   -0.14760E+02    0.87778E+07    0.15382E+04
    78    0.20978E+04    0.67485E+00   -0.15474E+02    0.87225E+07    0.15110E+04
    79    0.21258E+04    0.69384E+00   -0.16195E+02    0.86670E+07    0.14858E+04
    80    0.21542E+04    0.71274E+00   -0.16922E+02    0.86113E+07    0.14622E+04
    81    0.21829E+04    0.73148E+00   -0.17654E+02    0.85555E+07    0.14397E+04
    82    0.22120E+04    0.75007E+00   -0.18391E+02    0.84996E+07    0.14178E+04
    83    0.22414E+04    0.76847E+00   -0.19132E+02    0.84437E+07    0.13961E+04
    84    0.22712E+04    0.78669E+00   -0.19875E+02    0.83877E+07    0.13745E+04
    85    0.23013E+04    0.80468E+00   -0.20622E+02    0.83317E+07    0.13531E+04
    86    0.23316E+04    0.82247E+00   -0.21370E+02    0.82757E+07    0.13319E+04
    87    0.23624E+04    0.84000E+00   -0.22119E+02    0.82197E+07    0.13110E+04
    88    0.23934E+04    0.85730E+00   -0.22868E+02    0.81637E+07    0.12904E+04
    89    0.24247E+04    0.87433E+00   -0.23619E+02    0.81078E+07    0.12700E+04
    90    0.24563E+04    0.89106E+00   -0.24368E+02    0.80519E+07    0.12501E+04
    91    0.24881E+04    0.90747E+00   -0.25115E+02    0.79961E+07    0.12305E+04
    92    0.25203E+04    0.92354E+00   -0.25860E+02    0.79403E+07    0.12113E+04
    93    0.25528E+04    0.93925E+00   -0.26602E+02    0.78847E+07    0.11926E+04
    94    0.25854E+04    0.95456E+00   -0.27338E+02    0.78292E+07    0.11743E+04
    95    0.26183E+04    0.96946E+00   -0.28070E+02    0.77738E+07    0.11566E+04
    96    0.26513E+04    0.98394E+00   -0.28797E+02    0.77186E+07    0.11394E+04
    97    0.26847E+04    0.99796E+00   -0.29516E+02    0.76636E+07    0.11228E+04
    98    0.27184E+04    0.10115E+01   -0.30226E+02    0.76087E+07    0.11069E+04
    99    0.27521E+04    0.10246E+01   -0.30929E+02    0.75541E+07    0.10916E+04
   100    0.27861E+04    0.10371E+01   -0.31620E+02    0.74997E+07    0.10769E+04
   101    0.28203E+04    0.10492E+01   -0.32302E+02    0.74455E+07    0.10630E+04
